iter	Passed	Remaining
0	145	14386
1	147	7211
2	148	4810
3	149	3599
4	151	2877
5	152	2393
6	154	2047
7	155	1787
8	156	1585
9	158	1422
10	159	1293
11	161	1182
12	162	1086
13	164	1012
14	168	953
15	169	890
16	170	834
17	172	785
18	173	739
19	174	699
20	176	663
21	177	629
22	178	598
23	180	570
24	181	543
25	182	519
26	183	497
27	185	475
28	186	456
29	187	438
30	189	421
31	190	405
32	192	390
33	193	375
34	194	361
35	195	348
36	196	335
37	198	323
38	199	312
39	200	301
40	202	291
41	203	280
42	204	271
43	205	262
44	207	253
45	209	245
46	210	237
47	212	229
48	213	222
49	215	215
50	216	208
51	217	201
52	219	194
53	220	188
54	222	181
55	223	175
56	224	169
57	226	163
58	227	158
59	228	152
60	230	147
61	231	141
62	232	136
63	234	132
64	236	127
65	238	122
66	239	117
67	241	113
68	242	108
69	243	104
70	245	100
71	246	95
72	247	91
73	248	87
74	249	83
75	251	79
76	253	75
77	254	71
78	256	68
79	257	64
80	259	60
81	260	57
82	262	53
83	263	50
84	264	46
85	266	43
86	267	40
87	269	36
88	272	33
89	274	30
90	276	27
91	277	24
92	279	21
93	280	17
94	282	14
95	283	11
96	284	8
97	286	5
98	287	2
99	289	0
