iter	Passed	Remaining
0	138	138848
1	139	69687
2	140	46642
3	140	35091
4	141	28150
5	142	23532
6	142	20258
7	143	17828
8	144	15923
9	145	14405
10	146	13140
11	146	12088
12	147	11211
13	148	10465
14	149	9803
15	150	9225
16	150	8731
17	151	8281
18	152	7880
19	153	7516
20	154	7197
21	154	6889
22	155	6610
23	156	6354
24	156	6113
25	157	5895
26	157	5693
27	158	5505
28	159	5331
29	159	5167
30	160	5013
31	161	4889
32	163	4788
33	164	4663
34	165	4574
35	166	4468
36	167	4366
37	168	4271
38	169	4172
39	169	4079
40	170	3989
41	171	3917
42	172	3838
43	173	3759
44	173	3690
45	174	3624
46	175	3556
47	176	3494
48	177	3440
49	178	3382
50	178	3330
51	180	3286
52	180	3233
53	181	3182
54	182	3133
55	183	3088
56	183	3040
57	184	3000
58	185	2960
59	186	2920
60	187	2893
61	189	2861
62	190	2834
63	191	2799
64	192	2762
65	192	2728
66	193	2696
67	194	2667
68	195	2641
69	196	2611
70	197	2581
71	197	2551
72	198	2520
73	199	2496
74	200	2469
75	201	2445
76	201	2416
77	202	2390
78	202	2365
79	203	2341
80	204	2317
81	205	2295
82	205	2268
83	205	2245
84	206	2223
85	207	2202
86	208	2183
87	208	2162
88	209	2141
89	209	2122
90	210	2102
91	211	2084
92	211	2065
93	212	2046
94	212	2027
95	213	2008
96	213	1990
97	214	1974
98	215	1957
99	215	1940
100	216	1924
101	217	1915
102	219	1908
103	219	1894
104	220	1879
105	221	1864
106	221	1851
107	222	1836
108	223	1822
109	223	1810
110	224	1799
111	225	1787
112	226	1777
113	227	1765
114	227	1753
115	228	1741
116	228	1727
117	229	1714
118	230	1703
119	230	1692
120	231	1682
121	232	1670
122	232	1659
123	233	1649
124	234	1638
125	234	1628
126	235	1617
127	235	1606
128	237	1601
129	237	1591
130	238	1581
131	239	1571
132	239	1561
133	240	1551
134	240	1541
135	241	1533
136	241	1523
137	242	1514
138	243	1505
139	243	1497
140	244	1488
141	244	1479
142	245	1471
143	246	1464
144	247	1458
145	248	1451
146	248	1443
147	249	1435
148	250	1429
149	250	1422
150	251	1415
151	252	1408
152	253	1400
153	253	1393
154	254	1388
155	255	1381
156	255	1374
157	256	1367
158	257	1360
159	257	1352
160	258	1344
161	258	1337
162	259	1330
163	259	1323
164	260	1319
165	261	1313
166	262	1307
167	262	1300
168	263	1293
169	263	1287
170	264	1282
171	265	1276
172	265	1270
173	266	1263
174	266	1257
175	267	1251
176	268	1246
177	268	1240
178	269	1234
179	269	1228
180	270	1222
181	270	1216
182	271	1210
183	271	1205
184	272	1199
185	272	1193
186	273	1187
187	273	1182
188	274	1177
189	275	1173
190	275	1168
191	276	1164
192	277	1159
193	278	1155
194	279	1152
195	279	1148
196	280	1143
197	281	1140
198	282	1136
199	283	1132
200	283	1128
201	284	1123
202	285	1119
203	285	1114
204	286	1110
205	286	1106
206	287	1101
207	288	1097
208	288	1092
209	289	1088
210	290	1085
211	290	1081
212	291	1077
213	292	1075
214	293	1071
215	294	1067
216	294	1064
217	295	1059
218	296	1055
219	296	1052
220	297	1048
221	298	1044
222	298	1041
223	299	1037
224	300	1033
225	300	1029
226	301	1025
227	301	1021
228	302	1017
229	302	1013
230	303	1009
231	304	1006
232	304	1003
233	305	999
234	306	996
235	306	993
236	307	989
237	308	986
238	308	983
239	309	980
240	310	977
241	311	974
242	311	971
243	312	967
244	312	964
245	313	960
246	314	957
247	314	954
248	315	950
249	315	947
250	316	943
251	316	940
252	317	937
253	318	934
254	318	931
255	319	928
256	320	925
257	320	922
258	321	920
259	322	917
260	322	914
261	323	911
262	324	908
263	324	905
264	325	902
265	326	899
266	326	897
267	327	894
268	328	891
269	328	888
270	329	885
271	329	882
272	330	879
273	330	876
274	331	873
275	331	870
276	332	867
277	333	865
278	334	863
279	334	860
280	335	857
281	336	855
282	336	853
283	337	850
284	338	848
285	339	846
286	339	844
287	340	841
288	341	839
289	341	836
290	342	833
291	342	831
292	343	828
293	343	825
294	344	822
295	344	819
296	345	816
297	345	814
298	346	811
299	346	809
300	347	807
301	348	805
302	349	803
303	350	801
304	351	800
305	351	798
306	352	795
307	353	793
308	353	791
309	354	788
310	354	786
311	355	783
312	355	781
313	356	779
314	357	777
315	358	775
316	358	773
317	359	771
318	360	769
319	361	767
320	362	766
321	362	763
322	363	761
323	364	760
324	365	759
325	366	757
326	367	755
327	368	754
328	368	752
329	369	750
330	369	747
331	370	745
332	370	743
333	371	740
334	372	738
335	372	736
336	373	734
337	374	732
338	374	730
339	375	728
340	376	727
341	377	725
342	377	723
343	378	721
344	379	719
345	379	717
346	380	716
347	381	714
348	381	712
349	382	710
350	382	708
351	383	705
352	384	703
353	384	701
354	385	700
355	385	698
356	386	696
357	386	693
358	387	692
359	388	689
360	388	688
361	389	686
362	390	684
363	390	682
364	391	680
365	391	678
366	392	677
367	393	675
368	393	673
369	394	671
370	395	669
371	396	668
372	396	667
373	397	665
374	398	663
375	398	661
376	399	659
377	399	657
378	400	655
379	400	653
380	401	651
381	401	650
382	402	648
383	402	646
384	403	644
385	404	642
386	404	641
387	405	639
388	406	638
389	406	636
390	407	634
391	408	633
392	409	631
393	409	630
394	410	628
395	411	626
396	412	625
397	412	624
398	413	622
399	413	620
400	414	619
401	414	617
402	415	615
403	415	613
404	416	611
405	416	610
406	417	608
407	417	606
408	418	604
409	419	603
410	419	601
411	420	600
412	421	598
413	421	597
414	422	595
415	423	594
416	424	592
417	424	591
418	425	589
419	426	588
420	426	586
421	427	585
422	427	583
423	428	581
424	428	580
425	429	578
426	429	577
427	430	575
428	431	573
429	431	572
430	432	570
431	433	569
432	433	568
433	434	566
434	435	565
435	435	563
436	436	562
437	437	561
438	437	559
439	438	558
440	439	556
441	439	555
442	440	554
443	441	552
444	441	551
445	442	549
446	443	548
447	443	546
448	444	544
449	444	543
450	445	541
451	445	540
452	446	538
453	446	537
454	447	535
455	448	534
456	448	533
457	449	532
458	450	530
459	451	529
460	451	528
461	452	526
462	453	525
463	453	524
464	454	522
465	455	521
466	455	520
467	456	518
468	456	517
469	457	515
470	457	514
471	458	512
472	458	511
473	459	509
474	459	508
475	460	506
476	461	505
477	461	504
478	462	502
479	462	501
480	463	500
481	464	498
482	464	497
483	465	496
484	466	494
485	466	493
486	467	492
487	468	491
488	468	490
489	469	488
490	470	487
491	470	485
492	471	484
493	471	483
494	472	481
495	473	480
496	473	479
497	474	477
498	474	476
499	475	475
500	475	473
501	476	472
502	477	471
503	477	470
504	478	469
505	479	467
506	479	466
507	480	465
508	481	464
509	481	462
510	482	461
511	483	460
512	483	459
513	484	457
514	485	456
515	485	455
516	486	454
517	486	453
518	487	451
519	488	450
520	488	449
521	489	447
522	489	446
523	490	445
524	490	444
525	491	442
526	492	441
527	492	440
528	493	439
529	494	438
530	494	437
531	495	436
532	496	434
533	497	433
534	497	432
535	498	431
536	498	430
537	499	428
538	499	427
539	500	426
540	500	424
541	501	423
542	502	422
543	502	421
544	503	420
545	504	419
546	504	418
547	505	416
548	506	415
549	506	414
550	507	413
551	508	412
552	508	411
553	509	410
554	510	409
555	510	407
556	511	406
557	512	405
558	512	404
559	513	403
560	513	401
561	514	400
562	514	399
563	515	398
564	515	397
565	516	395
566	516	394
567	517	393
568	518	392
569	518	391
570	519	390
571	520	389
572	521	388
573	521	387
574	522	386
575	523	385
576	523	384
577	524	382
578	525	382
579	526	380
580	526	379
581	527	378
582	527	377
583	528	376
584	528	375
585	529	374
586	529	372
587	530	371
588	531	370
589	531	369
590	532	368
591	532	367
592	533	366
593	534	365
594	535	364
595	535	363
596	536	362
597	537	361
598	537	360
599	538	358
600	539	357
601	539	356
602	540	355
603	541	354
604	541	353
605	542	352
606	542	351
607	543	350
608	543	349
609	544	348
610	545	347
611	545	345
612	546	344
613	547	343
614	547	342
615	548	341
616	548	340
617	549	339
618	550	338
619	550	337
620	551	336
621	551	335
622	552	334
623	553	333
624	553	332
625	554	331
626	555	330
627	556	329
628	556	328
629	557	327
630	557	326
631	558	325
632	559	324
633	560	323
634	560	322
635	562	321
636	562	320
637	563	319
638	564	318
639	564	317
640	565	316
641	565	315
642	566	314
643	567	313
644	567	312
645	568	311
646	569	310
647	570	309
648	570	308
649	571	307
650	572	306
651	572	305
652	573	304
653	573	303
654	574	302
655	575	301
656	575	300
657	576	299
658	576	298
659	577	297
660	578	296
661	578	295
662	579	294
663	579	293
664	580	292
665	581	291
666	582	290
667	583	290
668	584	289
669	585	288
670	585	287
671	586	286
672	586	285
673	587	284
674	587	283
675	588	282
676	589	281
677	589	280
678	590	279
679	591	278
680	591	277
681	592	276
682	593	275
683	593	274
684	594	273
685	595	272
686	595	271
687	596	270
688	597	269
689	597	268
690	598	267
691	599	266
692	599	265
693	600	264
694	601	263
695	601	262
696	602	261
697	603	260
698	603	260
699	604	259
700	604	258
701	605	257
702	606	256
703	607	255
704	607	254
705	608	253
706	609	252
707	610	251
708	610	250
709	611	249
710	612	248
711	612	247
712	613	246
713	614	245
714	614	245
715	615	244
716	615	243
717	616	242
718	616	241
719	617	240
720	617	239
721	618	238
722	619	237
723	619	236
724	620	235
725	621	234
726	621	233
727	622	232
728	623	231
729	623	230
730	624	229
731	625	228
732	625	227
733	626	226
734	626	225
735	627	225
736	628	224
737	628	223
738	629	222
739	629	221
740	630	220
741	630	219
742	631	218
743	631	217
744	632	216
745	633	215
746	633	214
747	634	213
748	635	212
749	635	211
750	636	211
751	637	210
752	638	209
753	639	208
754	640	207
755	640	206
756	641	205
757	641	204
758	642	204
759	643	203
760	644	202
761	644	201
762	645	200
763	645	199
764	646	198
765	646	197
766	647	196
767	647	195
768	648	194
769	649	194
770	650	193
771	650	192
772	651	191
773	652	190
774	652	189
775	653	188
776	654	187
777	655	187
778	656	186
779	656	185
780	657	184
781	657	183
782	658	182
783	658	181
784	659	180
785	659	179
786	660	178
787	661	177
788	661	176
789	662	176
790	662	175
791	663	174
792	664	173
793	665	172
794	666	171
795	667	171
796	668	170
797	668	169
798	669	168
799	669	167
800	670	166
801	670	165
802	671	164
803	671	163
804	672	162
805	673	162
806	673	161
807	674	160
808	674	159
809	675	158
810	675	157
811	676	156
812	677	155
813	678	154
814	678	154
815	679	153
816	679	152
817	680	151
818	681	150
819	681	149
820	682	148
821	682	147
822	683	147
823	684	146
824	684	145
825	685	144
826	685	143
827	686	142
828	687	141
829	687	140
830	688	139
831	688	139
832	689	138
833	689	137
834	690	136
835	691	135
836	691	134
837	692	133
838	693	133
839	693	132
840	694	131
841	694	130
842	695	129
843	695	128
844	696	127
845	696	126
846	697	126
847	698	125
848	698	124
849	699	123
850	700	122
851	700	121
852	701	120
853	702	120
854	703	119
855	703	118
856	704	117
857	704	116
858	705	115
859	705	114
860	706	114
861	707	113
862	707	112
863	708	111
864	709	110
865	710	109
866	710	109
867	711	108
868	712	107
869	713	106
870	713	105
871	714	104
872	715	104
873	715	103
874	716	102
875	716	101
876	717	100
877	717	99
